x,y
0.0,3.0
0.25,4.247403959254523
0.5,2.479425538604203
0.75,2.0149720933566675
1.0,1.8414709848078965
1.25,1.7489846193555862
1.5,1.664161653270721
1.75,1.5554145183025083
2.0,1.4092974268256817
2.25,1.2225176413323657
2.5,0.9984721441039566
2.75,0.7452973556886953
3.0,0.4744533413932005
3.25,0.19949717316219934
3.5,-0.06506894197533414
3.75,-0.30489465207567706
4.0,-0.5068024953079282
4.25,-0.6596952405815246
4.5,-0.7553078954428748
4.75,-0.7887664731859043
5.0,-0.7589242746631384
5.25,-0.6684583029504015
5.5,-0.5237221437522102
5.75,-0.3343660340209975
6.0,-0.1127488315322592
6.25,0.1268207834524432
6.5,0.36896614193396937
6.75,0.5981922219287658
7.0,0.7998437415759319
7.25,0.9610119134942641
7.5,1.0713333101080722
7.75,1.1236310371756923
8.0,1.114358246623382
8.25,1.0438163314514615
8.5,0.9161341714470197
8.75,0.7390096680399068
9.0,0.5232295963528677
9.25,0.2819975934885417
9.5,0.030112037432927535
9.75,-0.2169550910581711
